"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "Markdown", "CSS", "CSV", "MS SQL", "Prisma", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/postcss.config.mjs", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/remotion.config.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/scripts/debug-speed-adjust.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 46
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/scripts/debug-video-stitch.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 54
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/scripts/test-combine-videos.ts", "TypeScript", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 13, 34, 212
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/scripts/test-metadata.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/Root.tsx", "TypeScript JSX", 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 10, 25, 278
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/compositions/CombineVideos.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 6, 10, 75
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/compositions/HelloWorld.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 3, 7, 57
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/compositions/VideoSpeedAdjust.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/compositions/VideoStitch.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 4, 6, 96
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/config.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/remotion-service.ts", "TypeScript", 0, 0, 426, 0, 0, 0, 0, 0, 0, 0, 0, 64, 68, 558
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/schema-validators.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/src/utils/time-parsing.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 31, 17, 114
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/tailwind.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/remotion/tsconfig.json", "JSON with Comments", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/README.md", "Markdown", 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 83, 385
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/bucket-policy.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/cors-config.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/eslint.config.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/src/index.ts", "TypeScript", 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 136, 48, 502
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/src/schema-validators.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 74
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/s3/tsconfig.json", "JSON with Comments", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/README.md", "Markdown", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 32, 127
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/assets/Sassy Product Catalog Prices.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/assets/Sassy Product Catalog.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/eslint.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/scripts/importProductsAndPrices.ts", "TypeScript", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 40, 32, 271
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/scripts/setupCustomerPortal.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 159
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/src/index.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 61, 27, 190
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/src/schema-validators.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/stripe/tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 19
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/tiktok-download/README.md", "Markdown", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 45, 157
"/Users/knamnguyen/Documents/0-Programming/viralcut/packages/tiktok-download/eslint.config.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
